RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322252,20221130,M,50대,서울특별시,300이상500만원 미만,2,5,20,30,60,10,0,0
53322282,20221130,F,60대,서울특별시,500이상700만원 미만,1,3,11,30,20,30,20,0
53322292,20221130,F,40대,서울특별시,500이상700만원 미만,4,5,30,30,30,0,40,0
53322328,20221130,M,50대,서울특별시,700만원 이상,2,3,16,20,5,45,30,0
53322420,20221130,F,50대,서울특별시,300이상500만원 미만,1,6,17,50,0,30,20,0
53322773,20221130,M,30대,서울특별시,500이상700만원 미만,1,5,15,80,10,10,0,0
53323045,20221130,F,20대,서울특별시,500이상700만원 미만,5,8,41,70,20,10,0,0
53323433,20221130,F,50대,서울특별시,700만원 이상,2,5,20,30,10,10,20,30
53323515,20221130,F,40대,서울특별시,300만원 미만,2,1,12,70,10,10,10,0
53323528,20221130,M,20대,서울특별시,300만원 미만,3,10,35,20,50,0,30,0
53323550,20221130,M,30대,서울특별시,300이상500만원 미만,2,2,14,40,20,20,20,0
53323605,20221130,F,30대,서울특별시,300이상500만원 미만,2,4,18,50,0,0,50,0
53323638,20221130,M,40대,서울특별시,300이상500만원 미만,3,10,35,20,20,50,10,0
53323752,20221130,F,20대,서울특별시,300만원 미만,5,13,51,20,10,0,70,0
53323796,20221130,F,50대,서울특별시,무응답,5,3,31,50,0,20,30,0
53323843,20221130,M,40대,서울특별시,500이상700만원 미만,5,5,35,70,20,10,0,0
53323936,20221130,M,30대,경기도,무응답,2,8,26,60,20,5,15,0
53324336,20221130,F,50대,서울특별시,500이상700만원 미만,4,4,28,50,20,20,10,0
53324541,20221130,F,30대,서울특별시,무응답,1,3,11,100,0,0,0,0
53324637,20221130,M,50대,서울특별시,300이상500만원 미만,2,7,24,10,50,10,30,0
53324755,20221130,M,60대,서울특별시,300만원 미만,2,2,14,0,50,0,50,0
53324859,20221130,F,30대,서울특별시,700만원 이상,6,10,50,30,10,10,50,0
53325006,20221130,M,40대,서울특별시,300이상500만원 미만,3,4,23,0,80,20,0,0
53325135,20221130,F,20대,서울특별시,700만원 이상,7,0,35,15,15,5,65,0
53325282,20221130,F,60대,서울특별시,300이상500만원 미만,2,6,22,10,50,20,20,0
53325306,20221130,M,60대,서울특별시,300만원 미만,5,5,35,80,5,0,15,0
53325453,20221130,F,60대,전라남도,300이상500만원 미만,2,3,16,30,40,10,20,0
53325524,20221130,M,60대,충청북도,300이상500만원 미만,4,3,26,20,30,30,20,0
53325619,20221130,M,30대,광주광역시,700만원 이상,1,2,9,60,0,0,40,0
53325643,20221130,F,50대,서울특별시,300이상500만원 미만,3,5,25,40,10,20,30,0
53325713,20221130,F,40대,경기도,300이상500만원 미만,6,10,50,70,10,15,5,0
53325791,20221130,M,50대,인천광역시,300이상500만원 미만,2,3,16,30,30,20,20,0
53326017,20221130,F,60대,충청북도,700만원 이상,2,2,14,30,40,20,10,0
53326025,20221130,F,40대,경기도,700만원 이상,3,1,17,60,10,10,20,0
53326109,20221130,M,60대,대구광역시,300만원 미만,2,3,16,80,20,0,0,0
53326407,20221130,F,30대,서울특별시,300이상500만원 미만,1,8,21,70,0,0,0,30
53326445,20221130,F,50대,인천광역시,300이상500만원 미만,2,2,14,10,20,10,50,10
53326515,20221130,M,40대,대구광역시,300만원 미만,2,4,18,0,0,20,80,0
53326531,20221130,F,30대,대전광역시,무응답,4,10,40,5,90,0,5,0
53326610,20221130,M,50대,대구광역시,300이상500만원 미만,7,7,49,100,0,0,0,0
53326666,20221130,M,60대,강원도,300만원 미만,3,5,25,10,40,30,20,0
53326804,20221130,M,30대,대구광역시,300만원 미만,2,10,30,100,0,0,0,0
53326810,20221130,F,20대,세종특별자치시,500이상700만원 미만,2,2,14,80,0,0,20,0
53326872,20221130,M,30대,강원도,300만원 미만,1,5,15,20,80,0,0,0
53326893,20221130,F,60대,경상북도,300만원 미만,4,5,30,50,20,20,10,0
53327099,20221130,M,50대,경상북도,300만원 미만,2,2,14,30,60,0,10,0
53327144,20221130,M,20대,경기도,무응답,8,10,60,40,10,10,40,0
53327241,20221130,F,30대,경기도,300이상500만원 미만,2,6,22,30,10,10,50,0
53327369,20221130,M,60대,전라북도,300만원 미만,4,6,32,60,10,10,20,0
53327421,20221130,M,20대,충청남도,500이상700만원 미만,5,15,55,70,10,0,20,0
53327446,20221130,M,30대,대구광역시,300이상500만원 미만,3,8,31,30,30,0,40,0
53327467,20221130,M,30대,인천광역시,500이상700만원 미만,8,8,56,100,0,0,0,0
53327515,20221130,F,30대,대전광역시,300이상500만원 미만,1,4,13,40,20,10,30,0
53327526,20221130,M,40대,경기도,500이상700만원 미만,1,2,9,10,50,10,30,0
53327555,20221130,F,30대,세종특별자치시,700만원 이상,3,0,15,80,0,0,20,0
53327625,20221130,M,60대,인천광역시,300이상500만원 미만,3,8,31,100,0,0,0,0
53327714,20221130,M,50대,서울특별시,300이상500만원 미만,2,8,26,10,10,70,10,0
53327924,20221130,F,50대,광주광역시,500이상700만원 미만,4,4,28,30,10,10,50,0
53328080,20221130,F,50대,충청북도,300이상500만원 미만,3,4,23,30,10,30,30,0
53328209,20221130,M,20대,서울특별시,300이상500만원 미만,4,8,36,20,30,0,50,0
53328328,20221130,M,20대,서울특별시,300이상500만원 미만,8,10,60,50,0,0,50,0
53328650,20221130,M,50대,경기도,500이상700만원 미만,1,2,9,0,50,50,0,0
53328751,20221130,F,50대,인천광역시,300이상500만원 미만,2,3,16,70,10,10,10,0
53329210,20221130,M,30대,서울특별시,300이상500만원 미만,1,2,9,40,10,10,40,0
53329305,20221130,M,30대,경기도,300만원 미만,4,4,28,100,0,0,0,0
53329331,20221130,M,50대,경기도,500이상700만원 미만,2,6,22,70,10,10,10,0
53329637,20221130,F,20대,부산광역시,300이상500만원 미만,1,3,11,100,0,0,0,0
53329777,20221130,F,20대,서울특별시,무응답,6,10,50,60,40,0,0,0
53330049,20221130,F,50대,부산광역시,300만원 미만,1,3,11,50,20,30,0,0
53330090,20221130,M,30대,경상남도,300만원 미만,0,1,2,0,100,0,0,0
53330125,20221130,M,20대,대전광역시,300이상500만원 미만,2,5,20,20,0,30,50,0
53330349,20221130,M,40대,서울특별시,300만원 미만,1,3,11,20,20,20,40,0
53330356,20221130,F,50대,인천광역시,300이상500만원 미만,3,2,19,70,30,0,0,0
53330365,20221130,M,30대,경기도,700만원 이상,0,3,6,100,0,0,0,0
53330406,20221130,M,20대,전라북도,무응답,10,10,70,20,10,20,30,20
53330531,20221130,M,50대,경기도,700만원 이상,4,10,40,10,50,0,40,0
53330608,20221130,M,20대,광주광역시,300만원 미만,1,5,15,10,10,10,70,0
53330740,20221130,M,50대,경기도,300만원 미만,2,3,16,0,40,0,60,0
53330764,20221130,F,30대,경상남도,700만원 이상,4,8,36,60,25,0,15,0
53330774,20221130,M,30대,전라남도,300만원 미만,3,8,31,40,40,10,10,0
53331002,20221130,F,50대,경기도,700만원 이상,3,2,19,60,0,0,40,0
53331084,20221130,M,40대,부산광역시,300만원 미만,1,1,7,80,0,0,20,0
53331264,20221130,M,20대,전라북도,500이상700만원 미만,6,12,54,75,20,5,0,0
53331271,20221130,M,40대,서울특별시,300이상500만원 미만,2,4,18,25,15,10,50,0
53331278,20221130,M,60대,경기도,300이상500만원 미만,5,10,45,60,20,20,0,0
53331374,20221130,F,20대,경기도,700만원 이상,2,8,26,80,10,5,5,0
53331390,20221130,M,20대,부산광역시,300이상500만원 미만,1,3,11,70,10,10,10,0
53331427,20221130,M,50대,경기도,700만원 이상,1,4,13,50,30,0,20,0
53331438,20221130,M,20대,서울특별시,300만원 미만,1,4,13,50,10,30,10,0
53331644,20221130,M,50대,부산광역시,300만원 미만,5,5,35,50,10,10,30,0
53331959,20221130,F,30대,경기도,300이상500만원 미만,4,1,22,30,0,50,20,0
53331986,20221130,F,40대,전라북도,300이상500만원 미만,5,5,35,50,30,10,10,0
53332159,20221130,M,50대,서울특별시,500이상700만원 미만,2,5,20,0,20,50,30,0
53332187,20221130,F,60대,충청남도,500이상700만원 미만,2,3,16,30,30,10,30,0
53332281,20221130,M,30대,대구광역시,300이상500만원 미만,3,6,27,10,60,10,20,0
53332304,20221130,F,60대,서울특별시,무응답,3,12,39,90,0,0,10,0
53332448,20221130,F,60대,경상북도,300만원 미만,2,2,14,30,20,20,30,0
53332521,20221130,F,60대,서울특별시,300만원 미만,2,15,40,5,15,15,30,35
53332626,20221130,F,40대,울산광역시,300이상500만원 미만,3,3,21,10,40,20,30,0
53332646,20221130,M,60대,부산광역시,500이상700만원 미만,10,10,70,20,30,30,20,0
53332910,20221130,F,50대,강원도,300만원 미만,6,8,46,10,50,30,10,0
53332918,20221130,M,60대,부산광역시,500이상700만원 미만,5,6,37,20,60,0,20,0
53333007,20221130,F,40대,부산광역시,700만원 이상,2,5,20,30,30,20,20,0
53333240,20221130,F,40대,인천광역시,300만원 미만,5,5,35,70,0,0,30,0
53333386,20221130,F,30대,인천광역시,300만원 미만,4,6,32,20,30,20,30,0
53333543,20221130,F,40대,경기도,700만원 이상,3,7,29,70,10,0,20,0
53333582,20221130,F,30대,서울특별시,300만원 미만,1,2,9,10,10,20,60,0
53333584,20221130,M,40대,경상북도,300이상500만원 미만,3,12,39,30,0,0,0,70
53333654,20221130,M,30대,전라북도,300이상500만원 미만,1,3,11,80,10,5,5,0
53333881,20221130,M,20대,부산광역시,700만원 이상,3,3,21,20,20,0,60,0
53333904,20221130,F,30대,충청북도,300이상500만원 미만,1,6,17,30,30,0,40,0
53334070,20221130,M,40대,경상북도,300이상500만원 미만,2,2,14,20,20,20,40,0
53334154,20221130,M,40대,서울특별시,300이상500만원 미만,4,8,36,90,10,0,0,0
53334156,20221130,M,20대,서울특별시,무응답,2,2,14,25,25,25,25,0
53334468,20221130,F,30대,서울특별시,700만원 이상,3,10,35,80,5,0,15,0
53334850,20221130,M,50대,경기도,300이상500만원 미만,5,2,29,100,0,0,0,0
53334861,20221130,F,30대,전라북도,300만원 미만,1,5,15,50,0,50,0,0
53334944,20221130,M,50대,경상북도,500이상700만원 미만,1,2,9,50,10,0,0,40
53334992,20221130,F,30대,경기도,300만원 미만,3,4,23,70,10,15,5,0
53335194,20221130,F,50대,경상남도,700만원 이상,4,8,36,50,20,0,30,0
53335236,20221130,F,20대,전라남도,700만원 이상,5,12,49,50,0,20,30,0
53335244,20221130,F,60대,충청북도,300만원 미만,4,6,32,50,0,0,50,0
53335248,20221130,F,40대,울산광역시,500이상700만원 미만,2,5,20,50,50,0,0,0
53335422,20221130,M,30대,경기도,500이상700만원 미만,2,5,20,30,15,5,50,0
53335445,20221130,M,40대,경상북도,500이상700만원 미만,2,5,20,30,5,20,45,0
53335569,20221130,M,50대,경상남도,500이상700만원 미만,4,6,32,10,50,10,30,0
53335786,20221130,F,30대,경상남도,300이상500만원 미만,0,3,6,50,0,0,50,0
53335830,20221130,F,20대,전라북도,300만원 미만,7,8,51,50,20,5,25,0
53335839,20221130,M,30대,경기도,500이상700만원 미만,3,12,39,20,0,0,80,0
53335858,20221130,F,20대,전라북도,무응답,2,6,22,90,10,0,0,0
53335879,20221130,F,40대,경상남도,300만원 미만,2,2,14,30,20,20,30,0
53335928,20221130,F,30대,경기도,500이상700만원 미만,3,10,35,40,30,10,20,0
53336078,20221130,F,60대,경상남도,300만원 미만,3,2,19,30,20,10,10,30
