RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_CT_EXPNDTR_TNDCY_VALUE,LSR_CT_EXPNDTR_INTEN_VALUE
53322496,20221102,F,60대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53322582,20221102,F,60대,서울특별시,무응답,비슷하다,비슷할 것이다
53322600,20221102,F,60대,서울특별시,500이상700만원 미만,비슷하다,비슷할 것이다
53322622,20221102,M,60대,서울특별시,300만원 미만,감소한 편이다,감소할 것이다
53322914,20221102,F,50대,서울특별시,300만원 미만,증가한 편이다,증가할 것이다
53322977,20221102,F,60대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53323016,20221102,F,60대,서울특별시,300만원 미만,비슷하다,비슷할 것이다
53323024,20221102,F,20대,서울특별시,300이상500만원 미만,증가한 편이다,증가할 것이다
53323149,20221102,M,20대,경기도,300만원 미만,비슷하다,비슷할 것이다
53323488,20221102,M,40대,서울특별시,700만원 이상,비슷하다,비슷할 것이다
53323649,20221102,M,20대,서울특별시,500이상700만원 미만,증가한 편이다,증가할 것이다
53323676,20221102,F,40대,서울특별시,500이상700만원 미만,증가한 편이다,증가할 것이다
53323771,20221102,M,30대,서울특별시,500이상700만원 미만,증가한 편이다,비슷할 것이다
53323802,20221102,F,60대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53323928,20221102,M,50대,서울특별시,300만원 미만,비슷하다,비슷할 것이다
53324030,20221102,F,50대,서울특별시,300이상500만원 미만,증가한 편이다,증가할 것이다
53324076,20221102,F,60대,서울특별시,700만원 이상,비슷하다,비슷할 것이다
53324078,20221102,M,40대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53324164,20221102,M,20대,경상남도,300만원 미만,증가한 편이다,증가할 것이다
53324165,20221102,F,40대,서울특별시,700만원 이상,비슷하다,비슷할 것이다
53324517,20221102,M,30대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53324602,20221102,M,60대,서울특별시,700만원 이상,비슷하다,감소할 것이다
53324741,20221102,F,20대,서울특별시,300이상500만원 미만,증가한 편이다,비슷할 것이다
53325038,20221102,F,50대,서울특별시,300만원 미만,증가한 편이다,증가할 것이다
53325069,20221102,M,50대,서울특별시,300만원 미만,감소한 편이다,비슷할 것이다
53325178,20221102,M,20대,서울특별시,300만원 미만,증가한 편이다,증가할 것이다
53325277,20221102,F,50대,서울특별시,300이상500만원 미만,증가한 편이다,증가할 것이다
53325309,20221102,F,40대,서울특별시,300이상500만원 미만,비슷하다,비슷할 것이다
53325382,20221102,M,60대,서울특별시,500이상700만원 미만,비슷하다,비슷할 것이다
53325410,20221102,F,30대,광주광역시,500이상700만원 미만,증가한 편이다,비슷할 것이다
53325431,20221102,F,40대,강원도,700만원 이상,증가한 편이다,비슷할 것이다
53325467,20221102,F,40대,경상남도,500이상700만원 미만,증가한 편이다,비슷할 것이다
53325630,20221102,F,40대,경기도,300만원 미만,비슷하다,비슷할 것이다
53325670,20221102,F,40대,경상북도,300만원 미만,비슷하다,비슷할 것이다
53325797,20221102,M,50대,울산광역시,500이상700만원 미만,비슷하다,비슷할 것이다
53325805,20221102,M,60대,경상북도,300이상500만원 미만,비슷하다,비슷할 것이다
53325835,20221102,M,60대,서울특별시,300이상500만원 미만,비슷하다,증가할 것이다
53326024,20221102,F,20대,경기도,300만원 미만,증가한 편이다,감소할 것이다
53326290,20221102,F,50대,경기도,300이상500만원 미만,비슷하다,비슷할 것이다
53326336,20221102,F,40대,충청남도,500이상700만원 미만,증가한 편이다,증가할 것이다
53326557,20221102,F,50대,충청남도,300이상500만원 미만,비슷하다,증가할 것이다
53326674,20221102,M,50대,대구광역시,300만원 미만,비슷하다,비슷할 것이다
53326937,20221102,F,50대,울산광역시,500이상700만원 미만,증가한 편이다,비슷할 것이다
53327137,20221102,F,60대,경기도,300이상500만원 미만,증가한 편이다,증가할 것이다
53327206,20221102,M,40대,인천광역시,700만원 이상,증가한 편이다,증가할 것이다
53327364,20221102,M,40대,부산광역시,300이상500만원 미만,감소한 편이다,감소할 것이다
53327370,20221102,M,50대,부산광역시,300만원 미만,감소한 편이다,비슷할 것이다
53327481,20221102,M,20대,전라남도,500이상700만원 미만,감소한 편이다,비슷할 것이다
53327531,20221102,M,50대,충청남도,700만원 이상,감소한 편이다,증가할 것이다
53327582,20221102,M,60대,대전광역시,300이상500만원 미만,증가한 편이다,증가할 것이다
53327629,20221102,F,60대,충청남도,무응답,비슷하다,비슷할 것이다
53327932,20221102,M,30대,서울특별시,300이상500만원 미만,증가한 편이다,증가할 것이다
53327988,20221102,F,40대,경기도,300만원 미만,비슷하다,증가할 것이다
53328041,20221102,F,50대,경기도,500이상700만원 미만,비슷하다,비슷할 것이다
53328204,20221102,F,20대,충청남도,300만원 미만,증가한 편이다,증가할 것이다
53328246,20221102,M,40대,경상북도,300이상500만원 미만,크게 증가했다,크게 증가할 것이다
53328592,20221102,F,30대,울산광역시,700만원 이상,증가한 편이다,증가할 것이다
53328630,20221102,M,40대,경상남도,300만원 미만,감소한 편이다,비슷할 것이다
53328654,20221102,M,40대,대전광역시,700만원 이상,증가한 편이다,증가할 것이다
53328690,20221102,M,30대,경기도,500이상700만원 미만,비슷하다,비슷할 것이다
53328765,20221102,M,50대,충청북도,300만원 미만,비슷하다,비슷할 것이다
53328795,20221102,F,30대,경기도,300만원 미만,비슷하다,비슷할 것이다
53328847,20221102,F,30대,경기도,300만원 미만,비슷하다,비슷할 것이다
53328925,20221102,M,60대,대전광역시,300이상500만원 미만,증가한 편이다,증가할 것이다
53328989,20221102,F,20대,서울특별시,300만원 미만,증가한 편이다,증가할 것이다
53329068,20221102,F,60대,충청남도,300이상500만원 미만,비슷하다,비슷할 것이다
53329078,20221102,F,40대,부산광역시,300만원 미만,비슷하다,감소할 것이다
53329086,20221102,M,50대,경기도,500이상700만원 미만,증가한 편이다,비슷할 것이다
53329169,20221102,F,30대,강원도,700만원 이상,비슷하다,비슷할 것이다
53329290,20221102,M,20대,부산광역시,300만원 미만,크게 증가했다,증가할 것이다
53329461,20221102,F,30대,경기도,500이상700만원 미만,감소한 편이다,감소할 것이다
53329482,20221102,F,20대,부산광역시,500이상700만원 미만,비슷하다,비슷할 것이다
