,id,inspection_day,gender,age,area,income_degree,now_leisure_spend,willingness_to_spending,workday_leisure_avg,weekend_leisure_avg,one_week_total_leisure,rest_rcrt_rate,hobby_rate,self_impt_rate,human_relationship_rate,etc_rate
0,53322496,20221102,F,60대,서울특별시,400.0,비슷하다,비슷할 것이다,2,2,14,30,0,0,30,40
2,53322600,20221102,F,60대,서울특별시,600.0,비슷하다,비슷할 것이다,2,1,12,10,60,0,30,0
3,53322622,20221102,M,60대,서울특별시,200.0,감소한 편이다,감소할 것이다,2,0,10,40,15,10,35,0
4,53322914,20221102,F,50대,서울특별시,200.0,증가한 편이다,증가할 것이다,2,4,18,0,0,40,20,40
5,53322977,20221102,F,60대,서울특별시,400.0,비슷하다,비슷할 것이다,5,2,29,10,10,10,50,20
6,53323016,20221102,F,60대,서울특별시,200.0,비슷하다,비슷할 것이다,2,2,14,0,80,0,20,0
7,53323024,20221102,F,20대,서울특별시,400.0,증가한 편이다,증가할 것이다,5,7,39,50,40,0,10,0
8,53323149,20221102,M,20대,경기도,200.0,비슷하다,비슷할 것이다,1,6,17,30,20,0,50,0
9,53323488,20221102,M,40대,서울특별시,700.0,비슷하다,비슷할 것이다,2,8,26,90,0,0,10,0
10,53323649,20221102,M,20대,서울특별시,600.0,증가한 편이다,증가할 것이다,3,10,35,60,0,10,30,0
11,53323676,20221102,F,40대,서울특별시,600.0,증가한 편이다,증가할 것이다,2,8,26,0,70,0,30,0
12,53323771,20221102,M,30대,서울특별시,600.0,증가한 편이다,비슷할 것이다,2,5,20,60,10,10,20,0
13,53323802,20221102,F,60대,서울특별시,400.0,비슷하다,비슷할 것이다,12,10,80,40,40,10,10,0
14,53323928,20221102,M,50대,서울특별시,200.0,비슷하다,비슷할 것이다,4,4,28,20,80,0,0,0
15,53324030,20221102,F,50대,서울특별시,400.0,증가한 편이다,증가할 것이다,2,4,18,0,70,30,0,0
16,53324076,20221102,F,60대,서울특별시,700.0,비슷하다,비슷할 것이다,5,5,35,30,20,20,30,0
17,53324078,20221102,M,40대,서울특별시,400.0,비슷하다,비슷할 것이다,2,8,26,50,30,0,20,0
18,53324164,20221102,M,20대,경상남도,200.0,증가한 편이다,증가할 것이다,2,8,26,60,20,15,5,0
19,53324165,20221102,F,40대,서울특별시,700.0,비슷하다,비슷할 것이다,5,10,45,80,20,0,0,0
20,53324517,20221102,M,30대,서울특별시,400.0,비슷하다,비슷할 것이다,2,8,26,20,0,0,80,0
21,53324602,20221102,M,60대,서울특별시,700.0,비슷하다,감소할 것이다,3,6,27,30,10,20,40,0
22,53324741,20221102,F,20대,서울특별시,400.0,증가한 편이다,비슷할 것이다,3,6,27,30,30,10,30,0
23,53325038,20221102,F,50대,서울특별시,200.0,증가한 편이다,증가할 것이다,3,3,21,50,40,0,0,10
24,53325069,20221102,M,50대,서울특별시,200.0,감소한 편이다,비슷할 것이다,1,3,11,50,10,10,30,0
25,53325178,20221102,M,20대,서울특별시,200.0,증가한 편이다,증가할 것이다,2,6,22,30,0,0,70,0
26,53325277,20221102,F,50대,서울특별시,400.0,증가한 편이다,증가할 것이다,2,10,30,30,10,20,40,0
27,53325309,20221102,F,40대,서울특별시,400.0,비슷하다,비슷할 것이다,1,1,7,90,10,0,0,0
28,53325382,20221102,M,60대,서울특별시,600.0,비슷하다,비슷할 것이다,2,8,26,30,50,10,10,0
29,53325410,20221102,F,30대,광주광역시,600.0,증가한 편이다,비슷할 것이다,1,0,5,30,30,10,30,0
30,53325431,20221102,F,40대,강원도,700.0,증가한 편이다,비슷할 것이다,5,10,45,40,10,40,10,0
31,53325467,20221102,F,40대,경상남도,600.0,증가한 편이다,비슷할 것이다,3,8,31,80,15,0,5,0
32,53325630,20221102,F,40대,경기도,200.0,비슷하다,비슷할 것이다,3,3,21,40,60,0,0,0
33,53325670,20221102,F,40대,경상북도,200.0,비슷하다,비슷할 것이다,3,3,21,10,0,10,20,60
34,53325797,20221102,M,50대,울산광역시,600.0,비슷하다,비슷할 것이다,2,2,14,20,20,20,40,0
35,53325805,20221102,M,60대,경상북도,400.0,비슷하다,비슷할 것이다,4,16,52,50,10,10,30,0
36,53325835,20221102,M,60대,서울특별시,400.0,비슷하다,증가할 것이다,3,8,31,50,20,0,30,0
37,53326024,20221102,F,20대,경기도,200.0,증가한 편이다,감소할 것이다,0,9,18,70,30,0,0,0
38,53326290,20221102,F,50대,경기도,400.0,비슷하다,비슷할 것이다,5,15,55,50,20,20,10,0
39,53326336,20221102,F,40대,충청남도,600.0,증가한 편이다,증가할 것이다,2,10,30,10,70,0,20,0
40,53326557,20221102,F,50대,충청남도,400.0,비슷하다,증가할 것이다,2,4,18,70,0,30,0,0
41,53326674,20221102,M,50대,대구광역시,200.0,비슷하다,비슷할 것이다,5,0,25,100,0,0,0,0
42,53326937,20221102,F,50대,울산광역시,600.0,증가한 편이다,비슷할 것이다,4,8,36,10,30,10,50,0
43,53327137,20221102,F,60대,경기도,400.0,증가한 편이다,증가할 것이다,5,5,35,30,20,20,20,10
44,53327206,20221102,M,40대,인천광역시,700.0,증가한 편이다,증가할 것이다,8,8,56,40,0,30,30,0
45,53327364,20221102,M,40대,부산광역시,400.0,감소한 편이다,감소할 것이다,2,10,30,60,5,15,20,0
46,53327370,20221102,M,50대,부산광역시,200.0,감소한 편이다,비슷할 것이다,1,3,11,50,30,0,20,0
47,53327481,20221102,M,20대,전라남도,600.0,감소한 편이다,비슷할 것이다,3,10,35,90,10,0,0,0
48,53327531,20221102,M,50대,충청남도,700.0,감소한 편이다,증가할 것이다,2,4,18,50,30,10,10,0
49,53327582,20221102,M,60대,대전광역시,400.0,증가한 편이다,증가할 것이다,5,6,37,0,50,20,30,0
51,53327932,20221102,M,30대,서울특별시,400.0,증가한 편이다,증가할 것이다,2,8,26,50,30,20,0,0
52,53327988,20221102,F,40대,경기도,200.0,비슷하다,증가할 것이다,3,5,25,50,0,20,30,0
53,53328041,20221102,F,50대,경기도,600.0,비슷하다,비슷할 것이다,10,10,70,40,10,20,30,0
54,53328204,20221102,F,20대,충청남도,200.0,증가한 편이다,증가할 것이다,3,7,29,20,30,20,30,0
55,53328246,20221102,M,40대,경상북도,400.0,크게 증가했다,크게 증가할 것이다,0,12,24,3,0,5,1,91
56,53328592,20221102,F,30대,울산광역시,700.0,증가한 편이다,증가할 것이다,8,12,64,0,50,20,30,0
57,53328630,20221102,M,40대,경상남도,200.0,감소한 편이다,비슷할 것이다,4,8,36,100,0,0,0,0
58,53328654,20221102,M,40대,대전광역시,700.0,증가한 편이다,증가할 것이다,3,8,31,20,10,50,20,0
59,53328690,20221102,M,30대,경기도,600.0,비슷하다,비슷할 것이다,3,10,35,50,10,10,30,0
60,53328765,20221102,M,50대,충청북도,200.0,비슷하다,비슷할 것이다,2,8,26,20,40,40,0,0
61,53328795,20221102,F,30대,경기도,200.0,비슷하다,비슷할 것이다,0,0,0,100,0,0,0,0
62,53328847,20221102,F,30대,경기도,200.0,비슷하다,비슷할 것이다,4,12,44,40,0,20,40,0
63,53328925,20221102,M,60대,대전광역시,400.0,증가한 편이다,증가할 것이다,1,3,11,20,0,20,60,0
64,53328989,20221102,F,20대,서울특별시,200.0,증가한 편이다,증가할 것이다,5,10,45,10,20,10,10,50
65,53329068,20221102,F,60대,충청남도,400.0,비슷하다,비슷할 것이다,3,4,23,30,15,5,50,0
66,53329078,20221102,F,40대,부산광역시,200.0,비슷하다,감소할 것이다,2,8,26,20,30,10,40,0
67,53329086,20221102,M,50대,경기도,600.0,증가한 편이다,비슷할 것이다,2,4,18,30,25,0,45,0
68,53329169,20221102,F,30대,강원도,700.0,비슷하다,비슷할 것이다,2,3,16,0,40,40,20,0
69,53329290,20221102,M,20대,부산광역시,200.0,크게 증가했다,증가할 것이다,2,10,30,30,50,0,20,0
70,53329461,20221102,F,30대,경기도,600.0,감소한 편이다,감소할 것이다,1,3,11,90,0,0,10,0
71,53329482,20221102,F,20대,부산광역시,600.0,비슷하다,비슷할 것이다,4,5,30,10,40,0,50,0
72,53329583,20221102,M,50대,경기도,400.0,비슷하다,비슷할 것이다,2,8,26,40,20,10,30,0
73,53329595,20221102,F,50대,대구광역시,400.0,비슷하다,비슷할 것이다,1,7,19,5,80,5,10,0
74,53329641,20221102,F,20대,전라남도,600.0,감소한 편이다,비슷할 것이다,3,8,31,70,20,10,0,0
75,53329657,20221102,M,60대,광주광역시,400.0,비슷하다,비슷할 것이다,3,1,17,0,80,0,20,0
76,53329669,20221102,F,30대,충청북도,700.0,증가한 편이다,증가할 것이다,4,8,36,50,10,10,30,0
77,53329925,20221102,F,30대,충청북도,400.0,증가한 편이다,증가할 것이다,3,5,25,50,10,10,30,0
78,53329964,20221102,F,60대,대전광역시,400.0,감소한 편이다,감소할 것이다,5,8,41,30,50,0,20,0
79,53330322,20221102,M,40대,부산광역시,700.0,증가한 편이다,증가할 것이다,0,2,4,70,10,10,10,0
80,53330399,20221102,M,50대,대전광역시,200.0,비슷하다,비슷할 것이다,4,12,44,50,10,35,5,0
81,53330444,20221102,F,50대,인천광역시,600.0,증가한 편이다,비슷할 것이다,4,6,32,20,0,80,0,0
82,53330633,20221102,F,40대,경상남도,600.0,감소한 편이다,감소할 것이다,15,8,91,10,10,50,30,0
83,53330719,20221102,M,40대,제주특별자치도,400.0,비슷하다,비슷할 것이다,3,7,29,50,20,0,30,0
84,53330736,20221102,F,30대,전라북도,700.0,비슷하다,증가할 것이다,1,1,7,70,10,10,10,0
85,53330933,20221102,F,40대,경기도,400.0,크게 증가했다,크게 증가할 것이다,3,5,25,30,50,10,10,0
86,53331121,20221102,F,40대,인천광역시,400.0,증가한 편이다,증가할 것이다,2,2,14,10,50,10,30,0
89,53331527,20221102,F,50대,대전광역시,700.0,증가한 편이다,증가할 것이다,2,2,14,30,30,10,30,0
90,53331536,20221102,M,60대,충청남도,200.0,감소한 편이다,감소할 것이다,1,0,5,30,20,10,40,0
91,53331545,20221102,F,20대,서울특별시,200.0,크게 증가했다,증가할 것이다,3,10,35,30,10,30,30,0
92,53331675,20221102,M,40대,세종특별자치시,700.0,비슷하다,증가할 것이다,3,4,23,20,50,0,30,0
93,53331795,20221102,M,20대,전라북도,700.0,비슷하다,증가할 것이다,2,3,16,30,20,10,40,0
94,53332002,20221102,M,20대,경기도,400.0,비슷하다,증가할 것이다,2,4,18,40,30,30,0,0
95,53332300,20221102,F,20대,서울특별시,200.0,증가한 편이다,비슷할 것이다,2,6,22,30,10,5,55,0
96,53332301,20221102,F,30대,세종특별자치시,400.0,증가한 편이다,증가할 것이다,3,4,23,10,30,20,40,0
97,53332445,20221102,F,50대,전라북도,400.0,감소한 편이다,감소할 것이다,2,8,26,0,50,0,50,0
99,53332582,20221102,M,60대,부산광역시,200.0,비슷하다,비슷할 것이다,2,2,14,20,30,30,20,0
100,53332782,20221102,F,60대,충청남도,600.0,증가한 편이다,증가할 것이다,4,3,26,30,20,10,10,30
101,53332854,20221102,F,20대,인천광역시,700.0,증가한 편이다,비슷할 것이다,2,6,22,20,30,10,40,0
102,53332862,20221102,F,30대,경기도,600.0,증가한 편이다,증가할 것이다,3,5,25,90,10,0,0,0
103,53332970,20221102,M,30대,부산광역시,400.0,비슷하다,비슷할 것이다,6,8,46,60,10,10,20,0
104,53332996,20221102,F,40대,경기도,200.0,증가한 편이다,감소할 것이다,5,8,41,40,30,20,10,0
105,53333040,20221102,M,30대,인천광역시,400.0,증가한 편이다,비슷할 것이다,2,3,16,60,0,0,40,0
106,53333074,20221102,F,20대,경상북도,200.0,크게 증가했다,비슷할 것이다,9,12,69,85,10,5,0,0
107,53333715,20221102,M,40대,경상북도,200.0,증가한 편이다,비슷할 것이다,5,15,55,40,20,30,10,0
108,53333757,20221102,F,40대,서울특별시,400.0,비슷하다,비슷할 것이다,4,12,44,40,10,10,40,0
109,53334066,20221102,M,40대,경상북도,200.0,비슷하다,비슷할 것이다,5,5,35,40,0,40,0,20
110,53334110,20221102,M,20대,강원도,400.0,증가한 편이다,증가할 것이다,4,8,36,90,0,0,10,0
111,53334233,20221102,F,30대,충청북도,700.0,감소한 편이다,감소할 것이다,1,10,25,10,10,10,35,35
112,53334271,20221102,M,50대,서울특별시,200.0,비슷하다,비슷할 것이다,3,6,27,10,20,60,10,0
114,53334903,20221102,M,40대,대구광역시,400.0,증가한 편이다,비슷할 것이다,2,5,20,50,50,0,0,0
115,53335112,20221102,M,60대,경기도,200.0,비슷하다,증가할 것이다,2,3,16,50,20,20,10,0
116,53335115,20221102,F,40대,전라북도,400.0,크게 증가했다,크게 증가할 것이다,1,3,11,10,30,10,50,0
117,53335223,20221102,M,40대,부산광역시,400.0,증가한 편이다,증가할 것이다,1,3,11,80,0,0,20,0
118,53335617,20221102,M,30대,서울특별시,400.0,비슷하다,비슷할 것이다,3,8,31,50,30,10,10,0
119,53335791,20221102,F,50대,서울특별시,400.0,증가한 편이다,증가할 것이다,4,10,40,70,0,0,0,30
120,53335939,20221102,M,30대,광주광역시,400.0,감소한 편이다,비슷할 것이다,1,4,13,60,0,0,40,0
121,53335957,20221102,F,20대,부산광역시,600.0,크게 증가했다,비슷할 것이다,5,10,45,55,0,0,45,0
122,53336040,20221102,F,30대,광주광역시,400.0,감소한 편이다,비슷할 것이다,3,10,35,50,0,30,20,0
123,53336173,20221102,M,60대,인천광역시,200.0,증가한 편이다,증가할 것이다,5,4,33,30,10,10,50,0
124,53336299,20221102,M,50대,경상남도,700.0,비슷하다,비슷할 것이다,2,6,22,15,15,20,50,0
125,53336386,20221102,F,50대,인천광역시,700.0,증가한 편이다,증가할 것이다,3,7,29,60,10,10,20,0
126,53336479,20221102,F,40대,부산광역시,200.0,증가한 편이다,증가할 것이다,3,6,27,30,20,0,0,50
127,53336536,20221102,F,20대,대구광역시,200.0,비슷하다,비슷할 것이다,7,14,63,90,0,10,0,0
128,53336814,20221102,F,60대,경상남도,200.0,감소한 편이다,비슷할 것이다,2,5,20,20,10,5,40,25
129,53336823,20221102,M,50대,경기도,700.0,증가한 편이다,증가할 것이다,5,12,49,30,50,20,0,0
130,53336837,20221102,F,30대,서울특별시,600.0,크게 증가했다,증가할 것이다,2,5,20,80,5,5,10,0
131,53336853,20221102,M,60대,광주광역시,600.0,비슷하다,감소할 것이다,1,10,25,0,0,5,95,0
132,53336912,20221102,F,50대,충청북도,600.0,증가한 편이다,증가할 것이다,2,3,16,50,10,30,10,0
133,53336969,20221102,F,60대,광주광역시,400.0,증가한 편이다,비슷할 것이다,3,3,21,10,50,20,20,0
134,53337027,20221102,M,60대,서울특별시,700.0,비슷하다,비슷할 것이다,2,4,18,30,40,20,10,0
135,53337093,20221102,M,30대,경기도,400.0,증가한 편이다,증가할 것이다,4,8,36,0,20,50,30,0
136,53337203,20221102,M,60대,경기도,400.0,비슷하다,증가할 것이다,8,2,44,60,10,20,10,0
137,53337226,20221102,M,60대,인천광역시,700.0,비슷하다,증가할 것이다,3,5,25,30,40,20,10,0
138,53337340,20221102,M,50대,세종특별자치시,700.0,비슷하다,비슷할 것이다,1,5,15,30,20,50,0,0
139,53337441,20221102,F,30대,전라북도,400.0,크게 증가했다,증가할 것이다,3,8,31,40,0,10,50,0
